0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.72,0.00,0.00,2.35,3.09,7.05,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.97,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.72,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,5.34,0.76,0.72,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,0.00,0.76,0.00,0.00,0.00,1.17,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,5.34,0.76,0.72,0.00,0.00,2.35,3.09,7.05,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.85,0.00,3.66,0.00,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.72,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.85,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.41,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,5.34,0.76,0.72,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,5.34,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,0.00,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.97,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.72,0.00,0.00,2.35,3.09,6.04,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,1.17,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,0.00,0.76,0.00,0.00,0.00,1.17,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.97,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,1.17,3.09,8.06,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,2.28,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,3.66,4.45,0.76,0.00,0.00,0.00,2.35,3.09,8.06,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.00,0.00,0.00,2.35,3.09,6.04,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,4.45,0.76,0.72,0.00,0.00,2.35,3.09,8.06,0.41,0.80,0.81,0.86,3.43,0.63,0.00,
0.00,0.00,2.74,0.00,0.76,0.00,0.00,0.00,2.35,3.09,7.05,0.00,0.80,0.81,0.86,3.43,0.63,0.00,
